configuration,metric_name,baseline_value,ablated_value,delta,percent_change
no-metagoals,goal_satisfaction_mean,0.8000000000000002,0.6,-0.20000000000000018,-25.000000000000018
no-metagoals,hard_violations_total,0,0,0,0.0
no-metagoals,soft_violations_total,15,15,0,0.0
no-metagoals,decision_latency_mean,15.0,15.0,0.0,0.0
no-metagoals,metagoal_contribution_mean,0.20000000000000004,0.20000000000000004,0.0,0.0
no-metagoals,antigoal_penalty_mean,0.3,0.3,0.0,0.0
no-metagoals,plan_length_mean,3.0,3.0,0.0,0.0
no-antigoals,goal_satisfaction_mean,0.8000000000000002,0.6,-0.20000000000000018,-25.000000000000018
no-antigoals,hard_violations_total,0,6,6,0.0
no-antigoals,soft_violations_total,15,3,-12,-80.0
no-antigoals,decision_latency_mean,15.0,15.0,0.0,0.0
no-antigoals,metagoal_contribution_mean,0.20000000000000004,0.20000000000000004,0.0,0.0
no-antigoals,antigoal_penalty_mean,0.3,0.3,0.0,0.0
no-antigoals,plan_length_mean,3.0,3.0,0.0,0.0
baseline-m2,goal_satisfaction_mean,0.8000000000000002,0.6,-0.20000000000000018,-25.000000000000018
baseline-m2,hard_violations_total,0,0,0,0.0
baseline-m2,soft_violations_total,15,15,0,0.0
baseline-m2,decision_latency_mean,15.0,15.0,0.0,0.0
baseline-m2,metagoal_contribution_mean,0.20000000000000004,0.20000000000000004,0.0,0.0
baseline-m2,antigoal_penalty_mean,0.3,0.3,0.0,0.0
baseline-m2,plan_length_mean,3.0,3.0,0.0,0.0
